Date/Time,Lat,Lon,base_code
8/1/2014 0:03,40.68547,-73.93148,Lyft
8/1/2014 0:08,40.72561,-74.00521,Lyft
8/1/2014 0:15,40.79299,-73.96588,Lyft
8/1/2014 0:16,40.76844,-73.98924,Lyft
8/1/2014 0:20,40.74606,-73.97928,Lyft
8/1/2014 0:23,40.70136,-73.92556,Lyft
8/1/2014 0:33,40.68644,-73.96174,Lyft
8/1/2014 0:36,40.69785,-73.99282,Lyft
8/1/2014 0:37,40.74361,-73.99251,Lyft
8/1/2014 0:41,40.76773,-73.98221,Lyft
8/1/2014 0:42,40.65426,-73.94627,Lyft
8/1/2014 0:42,40.72184,-74.00668,Lyft
8/1/2014 0:47,40.7495,-73.9918,Lyft
8/1/2014 0:52,40.67665,-73.98358,Lyft
8/1/2014 0:53,40.72269,-73.98305,Lyft
8/1/2014 0:57,40.74595,-73.98049,Lyft
8/1/2014 1:01,40.66146,-73.95258,Lyft
8/1/2014 1:01,40.73988,-73.98667,Lyft
8/1/2014 1:06,40.67917,-73.96308,Lyft
8/1/2014 1:12,40.71434,-74.00843,Lyft
8/1/2014 1:15,40.78683,-73.94334,Lyft
8/1/2014 1:17,40.74249,-73.9904,Lyft
8/1/2014 1:20,40.74473,-73.99171,Lyft
8/1/2014 1:21,40.68442,-73.94638,Lyft
8/1/2014 1:23,40.71883,-74.00124,Lyft
8/1/2014 1:26,40.72271,-74.00021,Lyft
8/1/2014 1:28,40.66526,-73.94665,Lyft
8/1/2014 1:33,40.68707,-73.9359,Lyft
8/1/2014 1:35,40.73928,-73.99124,Lyft
8/1/2014 1:45,40.73577,-73.99251,Lyft
8/1/2014 1:47,40.72197,-73.99723,Lyft
8/1/2014 1:48,40.72744,-73.85025,Lyft
8/1/2014 1:51,40.73804,-73.99825,Lyft
8/1/2014 1:54,40.69899,-73.9309,Lyft
8/1/2014 1:58,40.71953,-73.99184,Lyft
8/1/2014 1:59,40.7196,-73.96318,Lyft
8/1/2014 10:45,40.69158,-73.92573,Lyft
8/1/2014 11:13,40.74394,-73.88899,Lyft
8/1/2014 11:20,40.74359,-73.9881,Lyft
8/1/2014 11:24,40.68982,-73.9518,Lyft
8/1/2014 11:28,40.74675,-73.98047,Lyft
8/1/2014 11:37,40.7451,-73.99162,Lyft
8/1/2014 11:39,40.73918,-73.9781,Lyft
8/1/2014 11:39,40.68448,-73.93961,Lyft
8/1/2014 11:48,40.71446,-73.94512,Lyft
