Date/Time,Lat,Lon,base_code
9/1/2014 0:01,40.68189,-73.85437,Lyft
9/1/2014 0:01,40.76143,-73.9666,Lyft
9/1/2014 0:02,40.77922,-73.90095,Lyft
9/1/2014 0:02,40.7625,-73.95697,Lyft
9/1/2014 0:02,40.75065,-73.99453,Lyft
9/1/2014 0:03,40.84755,-73.91624,Lyft
9/1/2014 0:03,40.71641,-74.00201,Lyft
9/1/2014 0:03,40.71496,-74.01171,Lyft
9/1/2014 0:06,40.75963,-73.9879,Lyft
9/1/2014 0:06,40.68407,-73.99513,Lyft
9/1/2014 0:08,40.77186,-73.98716,Lyft
9/1/2014 0:09,40.67529,-73.98171,Lyft
9/1/2014 0:09,40.75022,-73.99111,Lyft
9/1/2014 0:09,40.75193,-73.9935,Lyft
9/1/2014 0:10,40.71474,-73.99891,Lyft
9/1/2014 0:10,40.75069,-73.99455,Lyft
9/1/2014 0:11,40.67527,-73.96179,Lyft
9/1/2014 0:12,40.73537,-73.98783,Lyft
9/1/2014 0:13,40.73918,-73.99563,Lyft
9/1/2014 0:14,40.79916,-73.96872,Lyft
9/1/2014 0:14,40.82929,-73.94476,Lyft
9/1/2014 0:15,40.80826,-73.96366,Lyft
9/1/2014 0:15,40.8046,-73.93726,Lyft
9/1/2014 0:15,40.67594,-73.99899,Lyft
9/1/2014 0:15,40.73463,-73.99871,Lyft
9/1/2014 0:16,40.76124,-73.92494,Lyft
9/1/2014 0:16,40.72506,-73.98869,Lyft
9/1/2014 0:16,40.7285,-73.99062,Lyft
9/1/2014 0:17,40.74069,-73.97896,Lyft
9/1/2014 0:18,40.75385,-73.84532,Lyft
9/1/2014 0:18,40.69231,-73.98892,Lyft
9/1/2014 0:19,40.71408,-73.99767,Lyft
9/1/2014 0:20,40.74179,-73.99494,Lyft
9/1/2014 0:21,40.64752,-73.97839,Lyft
9/1/2014 0:21,40.72828,-73.97887,Lyft
9/1/2014 0:22,40.80992,-73.94387,Lyft
9/1/2014 0:22,40.73226,-73.95463,Lyft
